epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.24849,1.13681,3.1078,1.49293,0.87522,0.63333,0.74046,0.47851,1.83569,1.37843,1.5321,0,0,0
2,11.1894,1.48926,1.71906,1.69587,0.84798,0.63333,0.73812,0.4782,1.82319,1.41713,1.5207,1.17822e-06,1.17822e-06,1.17822e-06
3,17.3811,1.56772,2.0127,1.86812,0.8304,0.63333,0.73099,0.47403,1.79923,1.43911,1.50903,2.33288e-06,2.33288e-06,2.33288e-06
4,22.9703,1.3943,2.70233,1.65706,0.80218,0.63333,0.73141,0.46589,1.77638,1.48793,1.49688,3.46397e-06,3.46397e-06,3.46397e-06
5,27.9764,1.42644,2.9708,1.68184,0.81396,0.63333,0.64798,0.44099,1.79224,1.5077,1.50562,4.5715e-06,4.5715e-06,4.5715e-06
6,33.32,1.53289,3.0788,1.81123,0.79528,0.63333,0.64776,0.44113,1.80639,1.53955,1.51748,5.65548e-06,5.65548e-06,5.65548e-06
7,38.1543,1.27931,1.57361,1.35739,0.78473,0.63333,0.64862,0.44124,1.81633,1.55572,1.51772,6.71588e-06,6.71588e-06,6.71588e-06
8,42.8351,1.02174,2.4618,1.34227,0.763,0.63333,0.64883,0.43285,1.83839,1.57547,1.52456,7.75273e-06,7.75273e-06,7.75273e-06
9,47.6395,1.10532,2.06747,1.40881,0.75364,0.63333,0.64853,0.43264,1.85283,1.59288,1.53108,8.76602e-06,8.76602e-06,8.76602e-06
10,53.2563,1.18621,1.82972,1.52925,0.74856,0.63333,0.64813,0.43267,1.8718,1.61716,1.54078,9.75574e-06,9.75574e-06,9.75574e-06
11,58.1513,1.18111,1.58529,1.32691,0.72263,0.63333,0.64805,0.43267,1.89295,1.65867,1.551,1.07219e-05,1.07219e-05,1.07219e-05
12,62.8937,1.06382,1.34253,1.33906,0.70124,0.63333,0.65065,0.42379,1.93171,1.68913,1.56515,1.16645e-05,1.16645e-05,1.16645e-05
13,68.0123,1.07209,2.08127,1.27383,0.66731,0.63333,0.65156,0.40737,1.95908,1.72936,1.58941,1.25835e-05,1.25835e-05,1.25835e-05
