epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,17.9996,0.84654,0.71377,1.10725,0.78875,0.36756,0.51858,0.31606,1.94667,1.87966,1.61671,2.82082e-05,2.82082e-05,2.82082e-05
40,18.4461,0.65026,0.6807,0.99543,0.78875,0.36756,0.51858,0.31606,1.94667,1.87966,1.61671,2.84911e-05,2.84911e-05,2.84911e-05
41,18.9046,0.85908,1.02478,1.35538,0.79051,0.36904,0.51917,0.33532,1.91748,1.91296,1.60781,2.87504e-05,2.87504e-05,2.87504e-05
42,19.3484,0.91945,0.90276,1.29734,0.79051,0.36904,0.51917,0.33532,1.91748,1.91296,1.60781,2.89861e-05,2.89861e-05,2.89861e-05
43,19.7907,1.0138,0.89739,1.46211,0.79624,0.36962,0.5189,0.33112,1.92736,1.88838,1.61055,2.91983e-05,2.91983e-05,2.91983e-05
44,20.2373,0.67679,0.59961,1.07079,0.79624,0.36962,0.5189,0.33112,1.92736,1.88838,1.61055,2.93869e-05,2.93869e-05,2.93869e-05
45,20.6918,1.03652,0.9095,1.48463,0.79883,0.36953,0.519,0.30677,1.92091,1.87214,1.61994,2.9552e-05,2.9552e-05,2.9552e-05
46,21.1366,0.96492,0.76274,1.35724,0.79883,0.36953,0.519,0.30677,1.92091,1.87214,1.61994,2.96935e-05,2.96935e-05,2.96935e-05
47,21.5945,0.91326,0.77655,1.16585,0.80068,0.36931,0.51244,0.29791,1.92064,1.89015,1.62121,2.98114e-05,2.98114e-05,2.98114e-05
48,22.0328,1.12544,1.26775,1.5933,0.80068,0.36931,0.51244,0.29791,1.92064,1.89015,1.62121,2.99058e-05,2.99058e-05,2.99058e-05
49,22.4828,1.05846,1.01163,1.55868,0.80282,0.36902,0.51391,0.32595,1.92744,1.91855,1.63483,2.99766e-05,2.99766e-05,2.99766e-05
50,22.9369,0.78025,0.69319,1.1952,0.80282,0.36902,0.51391,0.32595,1.92744,1.91855,1.63483,3.00238e-05,3.00238e-05,3.00238e-05
51,23.3858,0.86141,0.76842,1.2547,0.80308,0.36865,0.51452,0.30933,1.92576,1.90827,1.64433,3.00475e-05,3.00475e-05,3.00475e-05
52,23.8499,0.79766,0.76543,1.30597,0.80308,0.36865,0.51452,0.30933,1.92576,1.90827,1.64433,3.00476e-05,3.00476e-05,3.00476e-05
53,24.2911,0.63011,0.57023,1.07669,0.80308,0.36865,0.51452,0.30933,1.92576,1.90827,1.64433,3.00242e-05,3.00242e-05,3.00242e-05
54,24.7369,0.66328,0.61442,1.05065,0.80367,0.36876,0.48198,0.29004,1.87652,1.93817,1.61831,2.99772e-05,2.99772e-05,2.99772e-05
