 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> matlab

layers = 

  23×1 Layer array with layers:

     1   ''   Image Input             227×227×3 images with 'zerocenter' normalization
     2   ''   2-D Convolution         96 11×11 convolutions with stride [4  4] and padding [0  0  0  0]
     3   ''   ReLU                    ReLU
     4   ''   2-D Max Pooling         3×3 max pooling with stride [2  2] and padding [0  0  0  0]
     5   ''   2-D Convolution         256 5×5 convolutions with stride [1  1] and padding [5  5  5  5]
     6   ''   ReLU                    ReLU
     7   ''   2-D Max Pooling         3×3 max pooling with stride [2  2] and padding [0  0  0  0]
     8   ''   2-D Convolution         384 3×3 convolutions with stride [1  1] and padding [1  1  1  1]
     9   ''   ReLU                    ReLU
    10   ''   2-D Convolution         384 3×3 convolutions with stride [1  1] and padding [1  1  1  1]
    11   ''   ReLU                    ReLU
    12   ''   2-D Convolution         256 3×3 convolutions with stride [1  1] and padding [1  1  1  1]
    13   ''   ReLU                    ReLU
    14   ''   2-D Max Pooling         3×3 max pooling with stride [2  2] and padding [0  0  0  0]
    15   ''   Fully Connected         4096 fully connected layer
    16   ''   ReLU                    ReLU
    17   ''   Dropout                 50% dropout
    18   ''   Fully Connected         4096 fully connected layer
    19   ''   ReLU                    ReLU
    20   ''   Dropout                 50% dropout
    21   ''   Fully Connected         10 fully connected layer
    22   ''   Softmax                 softmax
    23   ''   Classification Output   crossentropyex
Initializing input data normalization.
|========================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |     Loss     |      Rate       |
|========================================================================================|
|     950 |        2850 |       06:32:54 |       99.73% |       0.0279 |      1.0000e-04 |
|     967 |        2900 |       06:39:42 |       99.47% |       0.0404 |      1.0000e-04 |
|     984 |        2950 |       06:46:49 |       99.87% |       0.0259 |      1.0000e-04 |
|    1000 |        3000 |       06:52:45 |       99.40% |       0.0362 |      1.0000e-04 |
|    1017 |        3050 |       07:00:47 |       99.67% |       0.0286 |      1.0000e-04 |
|    1034 |        3100 |       07:07:30 |       99.53% |       0.0335 |      1.0000e-04 |
|    1050 |        3150 |       07:13:56 |       99.53% |       0.0490 |      1.0000e-04 |
|    1067 |        3200 |       07:20:55 |       99.60% |       0.0304 |      1.0000e-04 |
|    1084 |        3250 |       07:26:58 |       99.53% |       0.0305 |      1.0000e-04 |
|    1100 |        3300 |       07:35:01 |       98.80% |       0.0479 |      1.0000e-04 |
|    1117 |        3350 |       07:42:59 |       99.13% |       0.0448 |      1.0000e-04 |
|    1134 |        3400 |       07:49:14 |       99.40% |       0.0355 |      1.0000e-04 |
|    1150 |        3450 |       07:55:42 |       99.93% |       0.0215 |      1.0000e-04 |
|    1167 |        3500 |       08:02:00 |       99.93% |       0.0263 |      1.0000e-04 |
|    1184 |        3550 |       08:09:39 |       99.80% |       0.0256 |      1.0000e-04 |
|    1200 |        3600 |       08:15:46 |       99.33% |       0.0356 |      1.0000e-04 |
|    1217 |        3650 |       08:22:44 |       99.40% |       0.0356 |      1.0000e-04 |
|    1234 |        3700 |       08:30:02 |       99.67% |       0.0268 |      1.0000e-04 |
|    1250 |        3750 |       08:36:35 |       99.80% |       0.0272 |      1.0000e-04 |
|    1267 |        3800 |       08:43:12 |       99.27% |       0.0417 |      1.0000e-04 |
|    1284 |        3850 |       08:50:13 |       99.53% |       0.0347 |      1.0000e-04 |
|    1300 |        3900 |       08:57:01 |       99.67% |       0.0279 |      1.0000e-04 |
|    1317 |        3950 |       09:03:28 |       99.87% |       0.0255 |      1.0000e-04 |
|    1334 |        4000 |       09:10:39 |       32.47% |       2.0752 |      1.0000e-04 |
|    1350 |        4050 |       09:17:18 |       68.60% |       0.9030 |      1.0000e-04 |
|    1367 |        4100 |       09:23:57 |       86.73% |       0.4064 |      1.0000e-04 |
|    1384 |        4150 |       09:29:55 |       93.80% |       0.1900 |      1.0000e-04 |
|    1400 |        4200 |       09:36:48 |       96.73% |       0.1206 |      1.0000e-04 |
|    1417 |        4250 |       09:43:50 |       97.27% |       0.1081 |      1.0000e-04 |
|    1434 |        4300 |       09:50:11 |       98.00% |       0.0822 |      1.0000e-04 |
|    1450 |        4350 |       09:57:08 |       97.60% |       0.0823 |      1.0000e-04 |
|    1467 |        4400 |       10:03:53 |       98.40% |       0.0649 |      1.0000e-04 |
|    1484 |        4450 |       10:11:15 |       98.67% |       0.0626 |      1.0000e-04 |
|    1500 |        4500 |       10:17:53 |       99.40% |       0.0480 |      1.0000e-04 |
|========================================================================================|
Training finished: Max epochs completed.
# Alexnet: 1500.000000 epochs, datasize: 227.000000, test size: 227.000000
# Alexnet: 3.000000 epochs, datasize: 5000.000000, test size: 227.000000
# Alexnet: 227.000000 epochs, datasize: 3.000000, test size: 1000.000000
# traint time: 37083.732138[s], classify time: 1.883728[s], accuracy: a:0.076000

# traint time: 0.100000[s], classify time: 0.100000[s], accuracy: a:0.119000

# traint time: 0.126000[s], classify time: 0.126000[s], accuracy: a:0.079000

# traint time: 0.126000[s], classify time: 0.076000[s], accuracy: a:0.079000

# traint time: 0.119000[s], classify time: 0.127000[s], accuracy: a:0.071000

# traint time: 0.091000[s], classify time: 0.127000[s], accuracy: a:0.100000

# traint time: 0.071000[s], classify time: 0.091000[s], accuracy: a:0.100000

# traint time: 0.126000[s], classify time: 0.091000[s], accuracy: a:0.119000

# traint time: 0.076000[s], classify time: 0.127000[s], accuracy: a:0.071000

# traint time: 0.135000[s], classify time: 0.076000[s], accuracy: a:0.119000

# traint time: 0.127000[s], classify time: 0.126000[s], accuracy: a:0.126000

# traint time: 0.071000[s], classify time: 0.076000[s], accuracy: a:0.071000

# traint time: 0.127000[s], classify time: 0.135000[s], accuracy: a:0.076000

# traint time: 0.079000[s], classify time: 0.127000[s], accuracy: a:0.071000

# traint time: 0.076000[s], classify time: 0.126000[s], accuracy: a:0.071000

# traint time: 0.126000[s], classify time: 0.119000[s], accuracy: a:0.127000

# traint time: 0.076000[s], classify time: 0.127000[s], accuracy: a:0.091000

# traint time: 0.126000[s], classify time: 0.127000[s], accuracy: a:0.100000

# traint time: 0.119000[s], classify time: 0.076000[s], accuracy: a:0.100000

# traint time: 0.100000[s], classify time: 0.091000[s], accuracy: a:0.091000

# traint time: 0.076000[s], classify time: 0.126000[s], accuracy: a:0.091000

# traint time: 0.076000[s], classify time: 0.126000[s], accuracy: a:0.076000

# traint time: 0.126000[s], classify time: 0.135000[s], accuracy: a:0.079000

# traint time: 0.135000[s], classify time: 0.076000[s], accuracy: a:0.091000

# traint time: 0.135000[s], classify time: 0.126000[s], accuracy: a:0.100000

# traint time: 0.100000[s], classify time: 0.119000[s], accuracy: a:0.135000

# traint time: 0.127000[s], classify time: 0.076000[s], accuracy: a:0.076000

